drug,concentration,model,feature_set,train_fraction_of_pool,n_train,n_test,seed,rmsd,r2,runtime_s
AMP,781.0,Decision tree,bare,0.01,525,2765,1003,0.806938150541857,-0.36761091067242924,0.0011314589064568281
AMP,781.0,LightGBM,bare,0.01,525,2765,1003,0.551380767789542,0.3614641470863448,0.2044346248731017
AMP,781.0,Linear (+ pairwise),pw,0.01,525,2765,1003,0.5866572426415648,0.2771454266439811,0.002510499907657504
AMP,781.0,Lasso (+ pairwise),pw,0.01,525,2765,1003,0.5524637346304633,0.35895338756661876,0.05298587493598461
AMP,781.0,Linear (additive),bare,0.03,1576,2765,1001,0.5606844349927829,0.3397338092420952,0.0004874579608440399
AMP,781.0,Lasso (additive),bare,0.03,1576,2765,1001,0.5605976487358076,0.339938193715582,0.014116584090515971
AMP,781.0,Decision tree,bare,0.03,1576,2765,1001,0.7118485255129217,-0.06428327980810833,0.002723083132877946
AMP,781.0,LightGBM,bare,0.03,1576,2765,1001,0.5062464091769275,0.461722816589895,0.34533966588787735
AMP,781.0,Linear (+ pairwise),pw,0.03,1576,2765,1001,0.5069532867366925,0.4602185621381064,0.004369458183646202
AMP,781.0,Lasso (+ pairwise),pw,0.03,1576,2765,1001,0.5056422321253057,0.4630068579296732,0.04517850000411272
AMP,781.0,Linear (additive),bare,0.03,1576,2765,1002,0.5609701369643968,0.33906074823956966,0.0004706669133156538
AMP,781.0,Lasso (additive),bare,0.03,1576,2765,1002,0.5609232589977274,0.33917120757275565,0.01461974997073412
AMP,781.0,Decision tree,bare,0.03,1576,2765,1002,0.7282902677686857,-0.11401508740338695,0.002640791004523635
AMP,781.0,LightGBM,bare,0.03,1576,2765,1002,0.5056192130544356,0.463055749422682,0.3729455419816077
AMP,781.0,Linear (+ pairwise),pw,0.03,1576,2765,1002,0.5054462019918783,0.4634231460693603,0.004452666966244578
AMP,781.0,Lasso (+ pairwise),pw,0.03,1576,2765,1002,0.5008137566857801,0.4732135937662235,0.04623966594226658
AMP,781.0,Linear (additive),bare,0.03,1576,2765,1003,0.5615429138608271,0.33771035905605706,0.0004747500643134117
AMP,781.0,Lasso (additive),bare,0.03,1576,2765,1003,0.5615117091185172,0.33778396341594774,0.01271783304400742
AMP,781.0,Decision tree,bare,0.03,1576,2765,1003,0.7336209526997426,-0.13038272775025428,0.0026940000243484974
AMP,781.0,LightGBM,bare,0.03,1576,2765,1003,0.5056066534640258,0.4630824245011915,0.35834100004285574
AMP,781.0,Linear (+ pairwise),pw,0.03,1576,2765,1003,0.5111867452357277,0.45116572140029454,0.004357291851192713
AMP,781.0,Lasso (+ pairwise),pw,0.03,1576,2765,1003,0.50636367421984,0.4614734186428262,0.053967125015333295
AMP,781.0,Linear (additive),bare,0.1,5253,2765,1001,0.5578273117439366,0.3464458036239316,0.0009800831321626902
AMP,781.0,Lasso (additive),bare,0.1,5253,2765,1001,0.5578259936300676,0.34644889224227093,0.015465750126168132
AMP,781.0,Decision tree,bare,0.1,5253,2765,1001,0.7010057186277858,-0.032108088105490484,0.008111084112897515
AMP,781.0,LightGBM,bare,0.1,5253,2765,1001,0.47907277299549417,0.5179578236380831,0.41369824996218085
AMP,781.0,Linear (+ pairwise),pw,0.1,5253,2765,1001,0.4883899823157427,0.49902557641331424,0.012092291144654155
AMP,781.0,Lasso (+ pairwise),pw,0.1,5253,2765,1001,0.48783005555916353,0.5001736269305364,0.1604522920679301
AMP,781.0,Linear (additive),bare,0.1,5253,2765,1002,0.5588241766614356,0.34410784930606375,0.0009200000204145908
AMP,781.0,Lasso (additive),bare,0.1,5253,2765,1002,0.5588487676858892,0.3440501230462867,0.014512334018945694
AMP,781.0,Decision tree,bare,0.1,5253,2765,1002,0.7016305122350327,-0.033948706211260005,0.007770291995257139
AMP,781.0,LightGBM,bare,0.1,5253,2765,1002,0.4810121217748622,0.5140471856224069,0.3947696660179645
AMP,781.0,Linear (+ pairwise),pw,0.1,5253,2765,1002,0.48881018777653984,0.49816313960116754,0.011992417043074965
AMP,781.0,Lasso (+ pairwise),pw,0.1,5253,2765,1002,0.4882079276283841,0.49939899825403644,0.14213154185563326
AMP,781.0,Linear (additive),bare,0.1,5253,2765,1003,0.5585176518880843,0.3448271884552585,0.0009782500565052032
AMP,781.0,Lasso (additive),bare,0.1,5253,2765,1003,0.5585216747907618,0.3448177502362836,0.028481875080615282
