drug,concentration,model,feature_set,train_fraction_of_pool,n_train,rmsd_mean,rmsd_std,r2_mean,r2_std,runtime_mean
AZT,36.0,Lasso (additive),bare,0.9,47278,0.35908753353842116,0.0000679972470830992,0.09422553558275819,0.0003430455579484183,0.031577624613419175
AZT,36.0,Lasso (additive),bare,0.99,52006,0.3591145324106589,0.000012265371751982727,0.09408934568799514,0.00006188139027248576,0.03328612493351102
AZT,36.0,LightGBM,bare,0.0003,16,0.37801936474455355,0.000753878374385979,-0.00380338067532023,0.004004790100999763,0.005343861257036527
AZT,36.0,LightGBM,bare,0.001,53,0.3984714940841316,0.01141596897752547,-0.11596738068219999,0.06437607601221175,0.025573458444948
AZT,36.0,LightGBM,bare,0.003,158,0.3838886011626606,0.010724319019591328,-0.035751894680154495,0.05740535024762085,0.0749755275901407
AZT,36.0,LightGBM,bare,0.01,525,0.3667589758353804,0.0026915697570162734,0.05507682098337363,0.013881696788790376,0.23016759698900083
AZT,36.0,LightGBM,bare,0.03,1576,0.3354502360924681,0.001922985746786939,0.2095304866978429,0.009047694867453795,0.3733632364310324
AZT,36.0,LightGBM,bare,0.1,5253,0.3151411467486816,0.0006654825456720319,0.3023607288463886,0.0029481512360024446,0.39546938869170845
AZT,36.0,LightGBM,bare,0.3,15759,0.2998837475127953,0.0014502332120088627,0.3682692217299719,0.0061046170352610256,0.43555106967687607
AZT,36.0,LightGBM,bare,0.5,26266,0.29472163230098225,0.00009356683051309862,0.38984037923340065,0.00038743097842704947,0.49326322227716446
AZT,36.0,LightGBM,bare,0.7,36772,0.29373040101369097,0.0003639968947292004,0.39393717252079163,0.0015016098401289671,0.5131103332775334
AZT,36.0,LightGBM,bare,0.9,47278,0.291503079862329,0.0005895445243885548,0.4030927056561306,0.0024137442537160705,0.5290634169553717
AZT,36.0,LightGBM,bare,0.99,52006,0.2906215802213468,0.0001816545087843005,0.4066987826368124,0.0007417284443817424,0.5206675977290919
AZT,36.0,Linear (+ pairwise),pw,0.0003,16,0.41127354538184163,0.0029162739099537144,-0.1882163222562411,0.016843199732956258,0.0003655275795608759
AZT,36.0,Linear (+ pairwise),pw,0.001,53,0.5315992339336112,0.08670126950508862,-1.0203290503044438,0.6249505046712266,0.0005580415794004997
AZT,36.0,Linear (+ pairwise),pw,0.003,158,1.5990410831667212,0.3435838704213273,-17.514169196470462,7.3223482031571425,0.001510180610542496
AZT,36.0,Linear (+ pairwise),pw,0.01,525,0.4017425712434493,0.01607914574801419,-0.13495504792506666,0.09163416680039863,0.002546722379823526
AZT,36.0,Linear (+ pairwise),pw,0.03,1576,0.35450182069464037,0.0033571944967505794,0.11715936978322157,0.016765996905978752,0.004364972468465567
AZT,36.0,Linear (+ pairwise),pw,0.1,5253,0.3401197046525714,0.0020995870506330455,0.18736780160422026,0.010050374399581284,0.012134944709638754
AZT,36.0,Linear (+ pairwise),pw,0.3,15759,0.3366773266778586,0.0006115547102630082,0.20375246283799286,0.002891171998743635,0.03132016692931453
AZT,36.0,Linear (+ pairwise),pw,0.5,26266,0.3357240458860862,0.0003622922945848549,0.20825625635953904,0.0017085004478782993,0.0450928610128661
AZT,36.0,Linear (+ pairwise),pw,0.7,36772,0.3356030703801967,0.00019866964986903145,0.20882718014756355,0.0009366782310990315,0.05818948630864421
AZT,36.0,Linear (+ pairwise),pw,0.9,47278,0.3351725886198604,0.00012512036217414356,0.21085568165037058,0.000589132801436415,0.07966693063887458
AZT,36.0,Linear (+ pairwise),pw,0.99,52006,0.3351472102000807,0.00007376374941873131,0.21097522896713441,0.0003472972914762499,0.08767349971458316
AZT,36.0,Linear (additive),bare,0.0003,16,0.9574529663663508,0.14891863322379642,-5.543386702117889,1.9244527988775006,0.00032386168216665584
AZT,36.0,Linear (additive),bare,0.001,53,0.4439222440509522,0.023585816616076807,-0.38691470255855814,0.1449901761307648,0.0002846942904094855
AZT,36.0,Linear (additive),bare,0.003,158,0.37592001563608596,0.005057898931889854,0.007197831705783327,0.026614648724468747,0.0003165693487972021
AZT,36.0,Linear (additive),bare,0.01,525,0.3664496887216197,0.00621849471935397,0.05652263024264378,0.03209822295286142,0.0003476669080555439
AZT,36.0,Linear (additive),bare,0.03,1576,0.3609303368921409,0.0015452177170169718,0.08489382263625274,0.007843934015636702,0.000498597277328372
AZT,36.0,Linear (additive),bare,0.1,5253,0.35996273111212207,0.00040966396236232313,0.08980413524511759,0.002071337918901814,0.0009304443374276161
AZT,36.0,Linear (additive),bare,0.3,15759,0.35922803296849576,0.00041598088775442914,0.09351580726266968,0.0020998732275985177,0.002061152753109733
AZT,36.0,Linear (additive),bare,0.5,26266,0.3591618188111548,0.00020983660202430655,0.0938505529420391,0.0010589813778316924,0.0034049166521678367
AZT,36.0,Linear (additive),bare,0.7,36772,0.3591966757204948,0.00009096044671238123,0.0936748270080563,0.00045901646621552135,0.004267625045031309
AZT,36.0,Linear (additive),bare,0.9,47278,0.3590904141423274,0.00006823280163053475,0.09421100311030502,0.00034423682013349566,0.005424360977485776
AZT,36.0,Linear (additive),bare,0.99,52006,0.3591176253117714,0.000012289262693151955,0.09407374116980131,0.00006200244573126928,0.005608763623361786
